iso_a3,country,pop_est,area_km2,arith_density,is_key
VAT,Vatican,825.0,0.0,inf,0
-99,Coral Sea Islands,4.0,0.0,inf,0
MAC,Macao S.A.R,640445.0,30.0,21348.2,0
SGP,Singapore,5703569.0,514.0,11096.4,0
GIB,Gibraltar,33701.0,4.0,8425.2,0
HKG,Hong Kong S.A.R.,7507400.0,1041.0,7211.7,0
MDV,Maldives,530953.0,109.0,4871.1,0
BHR,Bahrain,1641172.0,691.0,2375.1,0
MCO,Monaco,38964.0,19.0,2050.7,0
SXM,Sint Maarten,40733.0,23.0,1771.0,0
MLT,Malta,502653.0,326.0,1541.9,0
BGD,Bangladesh,163046161.0,137524.0,1264.0,1
BMU,Bermuda,63918.0,62.0,1030.9,0
JEY,Jersey,107800.0,119.0,905.9,0
GGY,Guernsey,62792.0,74.0,848.5,0
PSE,Palestine,4685306.0,6092.0,769.1,0
LBN,Lebanon,6855713.0,10030.0,683.5,0
TWN,Taiwan,23568378.0,36362.0,648.2,0
BRB,Barbados,287025.0,447.0,642.1,0
MUS,Mauritius,1265711.0,2025.0,625.0,0
ABW,Aruba,106314.0,171.0,621.7,0
SMR,San Marino,33860.0,60.0,564.3,0
MAF,Saint Martin,38002.0,69.0,550.8,0
KOR,South Korea,51709098.0,98741.0,523.7,0
TUV,Tuvalu,11646.0,23.0,506.3,0
COM,Comoros,850886.0,1682.0,505.9,0
RWA,Rwanda,12626950.0,25475.0,495.7,0
NLD,Netherlands,17332850.0,37337.0,472.0,1
IND,India,1366417754.0,3165389.0,458.0,1
NRU,Nauru,12581.0,29.0,433.8,0
BDI,Burundi,11530580.0,27222.0,423.6,0
HTI,Haiti,11263077.0,27035.0,416.6,0
ISR,Israel,9053300.0,22170.0,408.4,0
BLM,Saint Barthelemy,9961.0,25.0,398.4,0
BEL,Belgium,11484055.0,30630.0,374.9,0
PHL,Philippines,108116615.0,295090.0,366.4,0
MHL,Marshall Islands,58791.0,166.0,354.2,0
