city,lived_dens,arith_dens_grid,country,pop_M,built_pc_m2,road_m_per_person,cisi_all,greenness_ndvi,green_share_pct,pct_near_hospital,intersection_density,street_km_per_km2,metro_rail_route_km,metro_stations,rail_ridership_daily_millions,transit_mode_share_pct,tomtom_congestion_pct_2024,avg_commute_min,vehicles_per_1000_people,pm25_ugm3_annual,walk_score,metro_km_per_million,grp,group
Mumbai,58855.0,27714.0,India,20.45,6.6,0.45,0.199,0.281,4.4,58.5,95.3,13.56,473.5,179,7.0,75,63.2,50,200,43.8,,23.2,India,india
Hong Kong,56895.0,21853.0,China,4.81,6.0,1.07,0.0,0.382,5.8,,357.6,24.85,204.4,99,4.8,88,47.7,41,110,15.6,,42.5,Other,livable
Dhaka,46752.0,5643.0,Bangladesh,37.31,10.5,0.55,0.047,0.588,15.0,21.3,3.6,2.33,20.1,16,0.3,40,,65,120,80.2,,0.5,Other,developing
Bengaluru,46588.0,15058.0,India,15.18,16.5,1.35,0.324,0.293,3.9,51.1,279.4,25.42,73.8,66,0.75,48,74.4,47,800,28.6,,4.9,India,india
Kolkata,44009.0,9393.0,India,23.31,14.3,0.95,0.112,0.46,6.6,23.4,177.1,18.66,437.0,150,2.5,60,58.9,46,150,71.8,,18.7,India,india
Singapore,38975.0,11684.0,Singapore,5.12,17.9,2.42,0.235,0.445,2.5,41.0,227.2,20.16,230.0,134,3.4,64,43.9,46,168,13.4,,44.9,Other,livable
Delhi,31478.0,14690.0,India,31.42,16.8,1.28,0.259,0.27,3.8,34.5,150.4,17.2,393.0,288,6.0,45,60.2,55,600,92.7,,12.5,India,india
Lagos,24035.0,10714.0,Nigeria,12.85,32.4,1.16,0.109,0.344,1.6,17.1,110.7,16.9,27.0,5,0.15,60,,75,180,39.5,,2.1,Other,developing
Seoul,19829.0,9755.0,South Korea,22.26,21.0,1.83,0.282,0.426,4.6,37.7,90.2,12.82,350.0,333,7.2,65,,42,310,19.3,,15.7,Other,developed
Jakarta,14212.0,8787.0,Indonesia,40.55,24.0,1.81,0.16,0.44,4.4,40.8,182.7,18.01,439.0,101,1.1,20,59.8,48,900,38.4,,10.8,Other,developing
Paris,14016.0,6565.0,France,9.33,38.5,4.05,0.45,0.489,3.8,48.8,460.3,29.79,814.0,556,5.3,43,40.0,44,400,10.4,,87.2,Other,developed
New York,13617.0,4684.0,United States,14.2,48.5,5.18,0.342,0.428,4.1,29.0,301.1,27.57,399.0,472,3.6,31,48.8,40,450,7.1,88.0,28.1,Other,developed
Tokyo,10264.0,6419.0,Japan,33.16,43.9,3.91,0.398,0.317,3.4,33.0,851.3,46.91,304.0,285,8.0,68,44.1,43,340,9.6,,9.2,Other,developed
Amsterdam,7257.0,3972.0,Netherlands,1.22,54.0,6.76,0.337,0.45,4.4,14.1,269.8,20.23,42.5,39,0.35,29,45.7,35,247,7.5,,34.8,Other,developed
Los Angeles,4832.0,2996.0,United States,13.47,101.2,7.23,0.582,0.252,3.2,15.4,186.3,20.91,175.0,101,0.2,5,59.8,31,840,10.1,69.0,13.0,Other,developed
