iso_a3,country,grid_pop_M,lived_density,arith_density_grid,C,is_key
MAC,Macao S.A.R,0.58,86330.0,20550.0,4.2,0
MDV,Maldives,0.24,56321.0,2014.0,28.0,0
HKG,Hong Kong S.A.R.,6.21,49795.0,5952.0,8.4,0
SGP,Singapore,5.65,39137.0,10959.0,3.6,0
COG,Republic of the Congo,6.38,32035.0,18.0,1742.6,0
SOM,Somalia,15.19,29151.0,32.0,911.4,0
EGY,Egypt,115.44,25502.0,115.0,221.9,0
-99,Somaliland,4.59,23404.0,27.0,859.7,0
COM,Comoros,0.78,19761.0,462.0,42.8,0
YEM,Yemen,35.73,18780.0,78.0,239.5,0
SSD,South Sudan,11.48,18001.0,18.0,989.1,0
DJI,Djibouti,1.12,17846.0,51.0,351.8,0
COD,Democratic Republic of the Congo,108.76,17522.0,46.0,377.1,0
IRN,Iran,89.85,17178.0,55.0,311.1,0
BHR,Bahrain,1.27,16666.0,1864.0,8.9,0
JOR,Jordan,11.44,16330.0,128.0,127.2,0
GNQ,Equatorial Guinea,1.67,15692.0,62.0,251.8,0
BGD,Bangladesh,173.74,15442.0,1264.0,12.2,1
COL,Colombia,52.26,14680.0,46.0,321.0,0
PRK,North Korea,25.74,14454.0,210.0,68.8,0
MAR,Morocco,38.77,14299.0,65.0,219.0,0
TUR,Turkey,85.18,13768.0,109.0,126.3,0
TWN,Taiwan,23.54,13603.0,647.0,21.0,0
AGO,Angola,38.7,13189.0,31.0,426.7,0
PAK,Pakistan,249.39,13056.0,285.0,45.9,1
CMR,Cameroon,30.1,12971.0,64.0,201.4,0
KOR,South Korea,50.6,12565.0,512.0,24.5,0
AFG,Afghanistan,44.22,12008.0,69.0,174.8,0
IRQ,Iraq,47.54,11758.0,108.0,108.5,0
KWT,Kuwait,4.32,11532.0,246.0,46.8,0
SDN,Sudan,50.8,11098.0,27.0,407.7,0
SYR,Syria,25.31,11089.0,136.0,81.6,0
PER,Peru,34.8,11007.0,27.0,410.6,0
MCO,Monaco,0.05,10936.0,2700.0,4.1,0
LBN,Lebanon,5.0,10381.0,498.0,20.8,0
IND,India,1450.23,10060.0,458.0,22.0,1
PHL,Philippines,111.86,9898.0,379.0,26.1,0
ISR,Israel,9.82,9858.0,442.0,22.3,0
PSE,Palestine,5.24,9604.0,861.0,11.2,0
CHN,China,1415.26,9544.0,151.0,63.3,1
ERI,Eritrea,3.8,9265.0,31.0,300.5,0
SEN,Senegal,18.47,9195.0,94.0,98.3,0
NGA,Nigeria,232.91,8867.0,255.0,34.8,1
QAT,Qatar,2.7,8760.0,241.0,36.3,0
MMR,Myanmar,53.85,8623.0,81.0,106.7,0
SLE,Sierra Leone,8.82,8486.0,122.0,69.3,0
DOM,Dominican Republic,11.28,8348.0,232.0,36.0,0
MRT,Mauritania,5.02,8322.0,5.0,1725.1,0
ESP,Spain,46.47,8304.0,92.0,90.7,0
KEN,Kenya,56.9,8124.0,97.0,84.2,0
CIV,Ivory Coast,29.51,8042.0,91.0,87.9,0
